advText18,208,0,0,0,0,0,0,1,0,0,0,0,10,4,13,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,1,0,0,0,11,2,0,0,0,0,0,4,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,81,14,29,24,117,15,19,52,72,3,4,40,23,56,68,20,1,60,63,100,21,9,26,3,19,0,0,0,0,0
advText02,293,1,0,0,0,0,0,5,1,1,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,2,1,3,0,1,3,11,1,0,1,4,0,0,2,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,112,24,53,52,163,39,12,59,91,1,7,68,31,101,115,21,1,75,78,102,35,12,19,0,50,0,0,0,0,0
advText03,345,0,0,0,0,1,0,2,1,1,0,0,14,1,13,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,11,0,4,1,5,0,1,0,4,1,1,1,4,2,0,3,0,0,15,5,2,1,1,0,0,0,0,0,0,0,0,0,140,21,59,66,192,41,25,70,118,0,4,66,38,134,133,34,1,107,87,160,55,16,30,2,28,0,0,0,0,0
advText04,257,0,6,0,0,0,0,3,0,0,0,0,28,4,25,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,4,3,2,2,2,0,3,6,7,0,3,0,2,1,0,1,0,2,3,1,0,0,2,0,1,0,0,0,0,0,0,0,97,12,30,42,103,17,35,60,88,6,9,49,24,79,75,27,0,63,59,83,33,7,20,0,30,0,0,0,0,0
advText05,218,0,0,0,0,0,0,1,0,0,0,0,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,5,0,5,0,1,2,1,4,0,0,4,4,0,1,2,0,0,0,0,0,0,0,0,0,128,14,53,50,132,25,19,51,84,0,11,54,27,74,77,24,0,79,71,94,49,9,13,3,19,0,0,0,0,0
advText06,345,0,0,0,0,0,0,4,0,0,0,0,13,0,13,0,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,4,0,0,1,0,1,0,3,0,1,1,0,11,2,2,6,0,4,0,0,0,0,0,0,0,0,0,121,26,46,51,187,28,36,79,114,5,7,50,28,111,124,26,3,77,87,159,28,17,38,1,34,0,0,0,0,0
advText07,218,0,0,0,0,0,0,1,0,0,0,0,11,3,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,6,2,5,5,0,0,1,0,2,2,1,1,8,1,2,5,0,1,5,4,1,0,2,0,0,0,0,0,0,0,0,0,82,17,27,28,136,23,29,46,72,2,7,38,24,72,66,15,1,68,72,90,21,8,18,3,11,1,0,0,0,0
advText08,177,1,0,0,0,0,0,0,1,1,0,0,6,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,8,1,0,0,2,0,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,55,11,17,42,87,20,18,42,56,1,5,28,19,60,51,9,3,49,36,69,21,6,17,2,17,0,0,0,0,0
advText09,229,1,2,0,0,0,0,4,1,1,0,0,9,1,22,0,4,0,0,3,1,5,2,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,5,0,0,2,1,1,0,2,2,7,1,0,1,0,0,0,0,0,0,0,0,0,76,19,21,33,141,14,27,48,72,2,7,38,29,82,86,38,2,71,69,96,27,16,14,1,16,0,0,0,0,0
advText10,149,0,0,0,0,0,0,2,0,0,0,0,6,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0,55,8,24,34,95,18,11,32,62,1,4,29,11,56,62,21,0,62,57,68,19,12,9,0,19,0,0,0,0,0
advText11,205,0,0,0,0,0,0,0,0,0,0,0,13,7,11,0,5,4,2,5,0,2,0,0,1,1,0,0,0,0,0,0,0,7,1,4,1,0,3,2,1,1,1,0,1,3,2,0,0,0,0,6,3,3,1,7,0,1,0,0,0,0,0,0,0,100,13,32,63,133,24,22,50,73,0,5,43,15,83,67,20,0,70,61,91,18,4,24,4,12,0,0,0,0,0
advText12,813,0,4,0,5,0,0,25,2,2,0,0,24,21,33,0,2,3,0,2,2,2,1,0,0,2,0,0,0,0,0,3,0,25,3,3,5,0,3,3,3,7,1,0,1,6,5,3,12,1,13,13,24,8,2,3,1,2,1,0,0,0,0,0,0,289,56,119,108,376,82,75,149,278,3,28,175,90,208,297,72,0,215,278,313,163,42,50,10,103,1,0,0,0,0
advText13,248,0,0,0,1,0,0,1,5,5,0,0,8,5,10,1,10,4,5,2,3,5,1,1,2,3,0,0,0,0,0,0,0,7,7,3,1,2,2,0,5,5,0,1,0,1,0,1,0,0,3,8,3,2,3,0,0,0,0,0,0,0,0,0,0,99,17,57,43,151,29,23,47,98,0,5,61,29,88,81,20,0,70,67,113,29,11,14,7,31,2,0,0,0,0
advText14,152,0,0,0,0,0,0,0,1,1,0,0,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,4,1,0,0,4,1,1,2,0,1,3,6,1,0,0,0,0,0,0,0,0,0,0,0,75,4,19,31,67,21,12,38,52,1,11,28,20,51,48,8,1,40,53,66,27,14,12,0,13,2,0,0,0,0
