x	y	out
68.8655369	-63.39114991	0.49857697
-51.65159626	83.35049158	0.498965213
49.44133002	-16.14642305	0.534218418
11.61942342	16.87958011	0.74543312
26.65811387	-38.58556505	0.456021402
38.42795791	-34.9445138	0.535772787
-70.32599136	-61.46084476	0.500679447
43.45967553	-60.9383844	0.494800569
-71.6835917	-60.74479631	0.495658294
40.64851985	71.94251758	0.502645202
-43.84200193	-82.4381073	0.500961148
-2.941730636	-10.4385602	0.882319496
-97.03277704	85.64655101	0.499482084
-66.71378906	-50.96239817	0.501319096
76.82925524	-43.92863734	0.496940663
-82.75596877	-99.22123309	0.498881891
8.033256613	-10.90258142	0.632919842
-64.59109474	-25.77542416	0.490402343
-44.1226288	-94.21462775	0.497320668
45.97300411	-12.37620332	0.473578857
66.30311765	-71.55876698	0.495721798
-28.05912648	78.30481061	0.507890856
31.64729411	-16.82470523	0.580474161
-98.39950746	-72.92500658	0.498055084
-96.64969876	47.56778129	0.500758292
-95.36446147	86.26560967	0.498518568
-84.38567002	-57.27379706	0.50374461
57.42261302	69.93082909	0.498080658
-30.88288343	12.6719278	0.578744832
74.0132225	98.32023235	0.49910333
66.83258815	-94.0968385	0.500183735
85.78402595	-48.32056561	0.502338814
71.88411659	46.82968596	0.502574255
-51.01171458	23.08352083	0.487112735
-58.56437215	-33.47323901	0.515976006
78.46978799	16.921041	0.508549134
-95.50773019	11.90677681	0.503107679
-84.6042778	29.0970229	0.506110694
-23.05096144	70.33651418	0.511063382
-73.91545781	-98.23471027	0.498700619
-7.289939043	85.72598561	0.50533959
-62.2087402	-91.74954258	0.500616241
-61.94198955	-83.60706218	0.497409402
-73.09500892	78.44033904	0.49778824
-30.61487925	49.66550097	0.523241375
64.82876159	-86.84560673	0.503077453
17.30256431	-48.66795864	0.534673578
45.83875718	-60.52528615	0.494583813
-50.67314827	59.91703679	0.490331153
-60.58859772	-31.12571758	0.50651441
11.69916939	-4.679687349	0.128491302
37.43536679	-96.04782366	0.498571886
-48.87862426	33.01385083	0.49610429
68.32567396	66.70870872	0.503869952
70.89541215	-63.70359121	0.502598809
-73.15297991	1.554790666	0.503123452
18.54293172	-85.49059262	0.496237021
-23.98429747	58.07073505	0.479573318
69.49992518	84.24188217	0.499759932
-71.61584039	45.34833324	0.492585409
69.61146538	14.58377788	0.508744446
-30.73951972	54.75368735	0.47959883
35.35287151	-67.75264285	0.504894492
24.1941589	-36.74323608	0.441987597
60.64685025	61.55020742	0.506972231
-4.499885616	-27.52724825	0.385730845
52.91247585	-71.52112966	0.502637495
31.4411239	69.55799412	0.503175376
-79.5804165	-73.508688	0.50306714
-93.53109672	14.77739339	0.496819946
42.45557553	70.98432448	0.50382777
-48.28668771	-20.91387174	0.5000312
-28.68228776	2.29605382	0.419076454
34.72329348	37.054744	0.479970145
4.504354945	42.89003336	0.508650513
27.59840288	81.75422086	0.506850463
-71.31011119	-75.44829956	0.49654091
-29.82923041	-51.53776521	0.476782306
17.96050847	-64.56482074	0.508168402
-6.770928023	51.00725307	0.527157184
7.869444958	27.80304139	0.45203381
-12.1729239	47.93406908	0.502062319
44.13173293	7.064272509	0.491778645
60.73569483	-23.84732303	0.497776293
-57.83050853	21.84674734	0.509431211
-28.03123268	-12.74021728	0.458528164
-42.19304496	74.16016219	0.496057236
-46.82646016	-61.95803483	0.50184205
-28.79716826	-60.8645424	0.514895786
-51.53303392	59.26065584	0.490268041
25.38994866	70.47850495	0.493549894
-59.50990195	-81.341166	0.49649497
-12.39128759	-47.77186705	0.510670029
-22.05851693	-4.60667292	0.39760833
-62.62395914	-58.88381019	0.50459064
-62.38143519	-53.09585231	0.492516674
-32.98068497	-34.20853573	0.466777168
-30.2086885	49.84550133	0.524456063
-73.63810225	7.303593665	0.511224162
59.64791344	-28.24655063	0.48258974
-56.16258625	71.81573886	0.494278595
28.36507199	27.30531838	0.575285546
-50.02021186	-1.107509532	0.463603808
-31.24177247	37.65196332	0.538863183
-47.14795457	30.8552792	0.473617665
-41.56662669	-37.28877213	0.49542497
-10.84883337	51.92507498	0.474192383
-78.12379916	-60.79207242	0.504279897
10.85226596	-65.5030799	0.488655261
66.70275019	56.00182439	0.501142843
-16.76104627	-13.51698186	0.358161262
42.35004937	-63.87918055	0.50840444
5.894550401	-64.718833	0.507181734
